REF_IND,GENRE_IND,TYP_DOC_ID_IND,NUM_DOC_ID_IND,LIEU_DOC_ID_IND,DATE_DOC_ID_IND,COD_TVA_IND,NOM_IND,PRE_IND,DAT_NAISS_CREAT,GRP_IND,LIM_CRED_GLO_IND,LIM_FIN_GLO_IND,INFO_IND,DAT_INFO_IND,ID_NLDP,COD_SCLAS,ABRV_IND,LOGO_IND,PHOTO_IND,MF_IND,RC_IND,EXO_TVA,DAT_DEB_EXO,DAT_FIN_EXO,TEL_IND,FAX_IND,EMAIL_IND,REF_ADH_IND,FROM_JUR_IND,EXO_IND,ADR_IND,CP_IND,REF_ACH_IND,ID_GROUPE
257,PM   ,Registre De Commerce,B126551997,NUMÉRO INTROUVABLE,2016-10-07,0003100R            ,XF250,SH250,2016-10-07,False,,,0,,1.0,0000000,,,,,B126551997,False,2016-10-07,2016-10-07,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41704634,
258,PM   ,Registre De Commerce,B01184692013,NUMÉRO INTROUVABLE,2016-10-10,1315652M            ,XF251,SH251,2016-10-11,False,,,0,,1.0,0000000,,,,,B01184692013,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782656,
259,PM   ,Registre De Commerce,B19138372010,NUMÉRO INTROUVABLE,2016-10-10,1162451F            ,XF252,SH252,2016-10-11,False,,,0,,1.0,0000000,,,,,B19138372010,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782657,
260,PM   ,Registre De Commerce,B1420712015,NUMÉRO INTROUVABLE,2016-10-10,1384701M            ,XF253,SH253,2016-10-11,False,,,0,,1.0,0000000,,,,,B1420712015,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782658,
261,PM   ,Registre De Commerce,A0363442010,NUMÉRO INTROUVABLE,2016-10-10,0973503E            ,XF254,SH254,2016-10-11,False,,,0,,1.0,0000000,,,,,A0363442010,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782659,
262,PM   ,Registre De Commerce,A09104722014,NUMÉRO INTROUVABLE,2016-10-10,1345389H            ,XF255,SH255,2016-10-11,False,,,0,,1.0,0000000,,,,,A09104722014,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782660,
263,PM   ,Registre De Commerce,A1102132000,NUMÉRO INTROUVABLE,2016-10-10,0734294K            ,XF256,SH256,2016-10-11,False,,,0,,1.0,0000000,,,,,A1102132000,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782661,
264,PM   ,Registre De Commerce,A0189132008,NUMÉRO INTROUVABLE,2016-10-10,1078165C            ,XF257,SH257,2016-10-11,False,,,0,,1.0,0000000,,,,,A0189132008,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782662,
265,PM   ,Registre De Commerce,A142582011,NUMÉRO INTROUVABLE,2016-10-10,1149099E            ,XF258,SH258,2016-10-11,False,,,0,,1.0,0000000,,,,,A142582011,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782663,
266,PM   ,Registre De Commerce,B07155202009,NUMÉRO INTROUVABLE,2016-10-10,1119377R            ,XF259,SH259,2016-10-11,False,,,0,,1.0,0000000,,,,,B07155202009,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782664,
267,PM   ,Registre De Commerce,A1094862010,NUMÉRO INTROUVABLE,2016-10-10,0903762K            ,XF260,SH260,2016-10-11,False,,,0,,1.0,0000000,,,,,A1094862010,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782665,
268,PM   ,Registre De Commerce,B10145842015,NUMÉRO INTROUVABLE,2016-10-10,1409185Z            ,XF261,SH261,2016-10-11,False,,,0,,1.0,0000000,,,,,B10145842015,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782666,
269,PM   ,Registre De Commerce,A1045102007,NUMÉRO INTROUVABLE,2016-10-10,1007113X            ,XF262,SH262,2016-10-11,False,,,0,,1.0,0000000,,,,,A1045102007,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782667,
270,PM   ,Registre De Commerce,B0994592012,NUMÉRO INTROUVABLE,2016-10-10,1247512T            ,XF263,SH263,2016-10-11,False,,,0,,1.0,0000000,,,,,B0994592012,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782705,
271,PM   ,Registre De Commerce,A129382000,NUMÉRO INTROUVABLE,2016-10-10,0571415W            ,XF264,SH264,2016-10-11,False,,,0,,1.0,0000000,,,,,A129382000,False,2016-10-10,2016-10-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782668,
272,PM   ,Registre De Commerce,A0821802007,NUMÉRO INTROUVABLE,2016-10-11,0995684W            ,XF265,SH265,2016-10-11,False,,,0,,1.0,0000000,,,,,A0821802007,False,2016-10-11,2016-10-11,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782669,
273,PM   ,Registre De Commerce,B138312000,NUMÉRO INTROUVABLE,2016-10-11,0572142T            ,XF266,SH266,2016-10-11,False,,,0,,1.0,0000000,,,,,B138312000,False,2016-10-11,2016-10-11,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782675,
274,PM   ,Registre De Commerce,B1020342010,NUMÉRO INTROUVABLE,2016-10-11,1131016T            ,XF267,SH267,2016-10-11,False,,,0,,1.0,0000000,,,,,B1020342010,False,2016-10-11,2016-10-11,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782681,
275,PM   ,Registre De Commerce,B0811222007,NUMÉRO INTROUVABLE,2016-10-11,0986212P            ,XF268,SH268,2016-10-11,False,,,0,,1.0,0000000,,,,,B0811222007,False,2016-10-11,2016-10-11,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782706,
276,PM   ,Registre De Commerce,A0746932015,NUMÉRO INTROUVABLE,2016-10-11,1383380L            ,XF269,SH269,2016-10-11,False,,,0,,1.0,0000000,,,,,A0746932015,False,2016-10-11,2016-10-11,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782683,
277,PM   ,Registre De Commerce,A01110672012,NUMÉRO INTROUVABLE,2016-10-11,1248431Y            ,XF270,SH270,2016-10-11,False,,,0,,1.0,0000000,,,,,A01110672012,False,2016-10-11,2016-10-11,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782684,
